Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.778449800 | Error: Could not roll back JPA transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.782447700 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.785445900 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.786443600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.787442800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.789442300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.793440500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.794439600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.795438400 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.800435500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.801434800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.802435 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.803433600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.805432300 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.807431600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.809430500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.810430400 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.811428800 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.812430200 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.815426600 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.816425500 | Error: Could not open JPA EntityManager for transaction
Task ID: a7b04366-9352-4547-9df8-600875d43431 | Time: 2023-12-24T02:10:58.817449800 | Error: Could not open JPA EntityManager for transaction
